Event,Category,Menu,Qty,Customer Price,Customer Revenue,Collective Share,Commission (%),Profit
Dentra TNF Semarang,Bottle,Jagermeister Single,5,1100000,5500000,2500000,45.45,2500000
Dentra TNF Semarang,Bottle,Jameson + Bushmill + Jose Cuervo,5,3300000,16500000,2500000,15.15,2500000
Dentra TNF Semarang,Bottle,Jameson + Bushmill,3,2200000,6600000,1500000,22.73,1500000
Dentra TNF Semarang,Bottle,Jose Cuervo + 1800 Coconut,4,3500000,14000000,2000000,14.29,2000000
Dentra TNF Semarang,Bottle,Jose Cuervo Single,4,1100000,4400000,2000000,45.45,2000000
Dentra TNF Semarang,Bottle,Singleton 12 + Jagermeister,3,2500000,7500000,1500000,20,1500000
Dentra TNF Semarang,Bottle,Singleton 12 Dufftown Single,1,1500000,1500000,500000,33.33,500000
Dentra TNF Semarang,FDC,FDC Collective Share,113,100000,9783550,4891775,50,4891775
